txn_id,y_access_failure,y_maker_checker_breakdown,y_cbs_posting_failure,y_account_opening_failure,api_latency_ms,retry_count,peak_hour_flag,server_region,hour,day_of_week,is_weekend,latency_band,retry_band,otp_failure_flag,session_timeout_flag,token_mismatch_flag,external_dependency_failure_flag,client_network_drop_flag,app_crash_flag,middleware_timeout_flag,field_error_flag,error_field_name,caching_issue_flag,tat_minutes,tat_hours,tat_bucket,submission_hour,submission_day_of_week,peak_submission_flag,control_risk_score,api_call_status,api_latency_ms_cbs_int,retry_attempts,cbs_sync_status,reconciliation_flag,data_loss_flag,event_hour,event_day_of_week,peak_event_flag,api_latency_band_integration,retry_band_integration,sync_risk_score,account_type,channel,branch_id,txn_month,txn_day_of_week,end_to_end_friction_score,total_failure_layers,is_slow_auth,is_slow_cbs
TXN0027291,0,0,0,0,233,1,0,South,1,6,1,low,low,0,0,0,0,0,0,0,0,No_Error,0,33,0.55,30-60m,1,6,0,0,Success,1123,0,Synced,0,0,1,6,0,high,none,1,Current,Mobile,B522,3,6,1,0,0,1
TXN0007777,0,0,0,0,233,1,0,East,1,6,1,low,low,0,0,0,0,1,0,0,0,No_Error,0,92,1.5333333333333334,1-2h,1,6,0,1,Success,597,0,Synced,0,0,1,6,0,moderate,none,0,Current,Mobile,B125,3,6,1,0,0,0
TXN0085082,0,0,0,0,389,1,0,North,4,6,1,low,low,0,0,0,0,0,0,0,0,No_Error,0,53,0.8833333333333333,30-60m,4,6,0,0,Success,961,0,Synced,0,0,4,6,0,moderate,none,0,Current,Mobile,B524,3,6,0,0,0,0
TXN0071456,0,0,0,0,726,1,0,West,21,6,1,moderate,low,0,1,1,0,1,0,0,0,No_Error,0,149,2.4833333333333334,>2h,21,6,0,1,Success,376,0,Synced,0,0,21,6,0,low,none,0,Current,Tablet,B372,3,6,1,0,0,0
TXN0058370,0,0,0,0,1055,1,0,East,23,6,1,high,low,0,0,0,0,0,0,0,0,No_Error,0,67,1.1166666666666667,1-2h,23,6,0,1,Success,393,0,Synced,0,0,23,6,0,low,none,0,Current,Mobile,B519,3,6,1,0,1,0
TXN0075668,1,0,1,1,1886,1,1,North,9,6,1,high,low,0,1,0,1,0,0,0,0,No_Error,0,20,0.3333333333333333,15-30m,9,6,1,0,Failure,2504,2,Failed,1,0,9,6,1,very_high,medium,3,Current,Mobile,B136,3,6,5,2,1,1
TXN0016935,1,0,0,0,796,1,0,South,12,6,1,moderate,low,0,0,1,0,0,0,1,0,No_Error,0,30,0.5,15-30m,12,6,0,0,Success,382,0,Synced,0,0,12,6,0,low,none,0,Savings,Tablet,B497,3,6,0,1,0,0
TXN0087114,0,0,0,1,354,1,0,South,14,6,1,low,low,0,0,0,0,0,0,0,0,No_Error,0,151,2.5166666666666666,>2h,14,6,0,1,Success,328,0,Synced,0,0,14,6,0,low,none,0,Savings,Mobile,B366,3,6,1,0,0,0
TXN0060291,0,0,0,0,578,2,0,West,23,6,1,moderate,medium,0,0,0,0,0,0,0,0,No_Error,0,139,2.316666666666667,>2h,23,6,0,1,Success,518,0,Synced,0,0,23,6,0,moderate,none,0,Savings,Tablet,B413,3,6,1,0,0,0
TXN0036878,0,0,0,0,794,1,0,South,1,6,1,moderate,low,0,0,0,0,0,0,0,0,No_Error,0,111,1.85,1-2h,1,6,0,1,Success,903,0,Synced,0,0,1,6,0,moderate,none,0,Savings,Tablet,B433,3,6,1,0,0,0
TXN0074074,0,1,0,0,744,1,0,East,1,6,1,moderate,low,0,0,0,0,0,0,0,1,PAN,1,247,4.116666666666666,>2h,1,6,0,3,Success,734,0,Synced,0,0,1,6,0,moderate,none,0,Savings,Tablet,B366,3,6,3,1,0,0
TXN0046253,0,0,0,0,588,1,0,North,23,6,1,moderate,low,0,0,0,0,1,0,0,0,No_Error,0,106,1.7666666666666666,1-2h,23,6,0,1,Success,634,0,Synced,0,0,23,6,0,moderate,none,0,Current,Tablet,B555,3,6,1,0,0,0
TXN0057101,0,0,0,0,428,1,0,North,13,6,1,low,low,0,0,0,0,0,0,0,0,No_Error,0,106,1.7666666666666666,1-2h,13,6,0,1,Success,1102,0,Synced,0,0,13,6,0,high,none,1,Current,Mobile,B191,3,6,2,0,0,1
TXN0068725,0,0,0,1,801,1,0,East,4,6,1,moderate,low,1,0,0,0,0,0,0,0,No_Error,0,161,2.683333333333333,>2h,4,6,0,1,Success,1033,0,Synced,0,0,4,6,0,high,none,1,Savings,Mobile,B477,3,6,2,0,0,1
TXN0052406,0,0,0,0,630,2,0,North,3,6,1,moderate,medium,0,0,0,0,0,0,0,0,No_Error,0,65,1.0833333333333333,1-2h,3,6,0,1,Success,390,0,Synced,0,0,3,6,0,low,none,0,Current,Tablet,B184,3,6,1,0,0,0
TXN0055193,0,0,0,0,288,1,0,North,7,6,1,low,low,0,0,0,0,0,1,0,0,No_Error,0,91,1.5166666666666666,1-2h,7,6,0,1,Success,329,0,Synced,0,0,7,6,0,low,none,0,Current,Tablet,B494,3,6,1,0,0,0
TXN0015902,0,0,0,0,870,1,0,West,18,6,1,moderate,low,0,0,0,0,0,0,0,0,No_Error,0,151,2.5166666666666666,>2h,18,6,0,1,Success,1196,0,Synced,0,0,18,6,0,high,none,1,Current,Tablet,B596,3,6,2,0,0,1
TXN0069033,0,1,0,0,556,1,0,West,5,6,1,moderate,low,0,0,0,0,0,0,0,1,PAN,1,227,3.783333333333333,>2h,5,6,0,3,Success,1153,0,Synced,0,0,5,6,0,high,none,1,Current,Mobile,B403,3,6,4,1,0,1
TXN0030499,0,0,0,0,2282,1,1,North,9,6,1,very_high,low,0,0,0,0,0,0,1,0,No_Error,0,159,2.65,>2h,9,6,1,1,Success,1114,0,Synced,0,0,9,6,1,high,none,1,Current,Mobile,B496,3,6,4,0,1,1
TXN0023444,0,0,1,1,1108,1,0,South,21,6,1,high,low,1,0,0,0,0,0,0,0,No_Error,0,151,2.5166666666666666,>2h,21,6,0,1,Failure,3474,3,Failed,1,1,21,6,0,very_high,high,4,Current,Tablet,B409,3,6,5,1,1,1
TXN0005854,0,0,0,0,526,1,0,South,0,6,1,moderate,low,0,0,0,0,0,0,0,0,No_Error,0,168,2.8,>2h,0,6,0,1,Success,1099,0,Synced,0,0,0,6,0,high,none,1,Current,Mobile,B529,3,6,2,0,0,1
TXN0005473,1,0,1,0,774,1,0,East,23,6,1,moderate,low,0,0,0,0,0,0,0,0,No_Error,0,75,1.25,1-2h,23,6,0,1,Failure,4212,1,Failed,1,0,23,6,0,very_high,low,3,Current,Tablet,B486,3,6,4,2,0,1
TXN0037469,0,0,0,0,508,2,0,West,3,6,1,moderate,medium,0,0,0,0,0,1,0,0,No_Error,0,95,1.5833333333333333,1-2h,3,6,0,1,Success,626,0,Synced,0,0,3,6,0,moderate,none,0,Savings,Mobile,B223,3,6,1,0,0,0
TXN0071444,1,0,0,0,2052,2,1,East,11,6,1,very_high,medium,0,0,0,0,0,0,0,0,No_Error,0,112,1.8666666666666667,1-2h,11,6,1,1,Success,559,0,Synced,0,0,11,6,1,moderate,none,0,Savings,Tablet,B329,3,6,3,1,1,0
TXN0036205,0,0,0,0,232,3,0,North,5,6,1,low,high,0,0,0,0,0,0,0,0,No_Error,0,179,2.9833333333333334,>2h,5,6,0,1,Success,620,0,Synced,0,0,5,6,0,moderate,none,0,Savings,Mobile,B466,3,6,1,0,0,0
TXN0061937,1,0,0,1,945,1,0,West,12,6,1,moderate,low,0,0,0,0,0,0,0,0,No_Error,0,113,1.8833333333333333,1-2h,12,6,0,1,Success,339,0,Synced,0,0,12,6,0,low,none,0,Current,Tablet,B529,3,6,1,1,0,0
TXN0023288,0,0,0,0,468,1,0,West,0,6,1,low,low,0,0,0,0,0,0,0,0,No_Error,0,18,0.3,15-30m,0,6,0,0,Success,436,0,Synced,0,0,0,6,0,low,none,0,Current,Mobile,B112,3,6,0,0,0,0
TXN0085427,1,0,0,0,2592,1,1,North,10,6,1,very_high,low,0,0,0,0,0,0,0,0,No_Error,0,60,1.0,30-60m,10,6,1,0,Success,625,0,Synced,0,0,10,6,1,moderate,none,0,Savings,Mobile,B106,3,6,2,1,1,0
TXN0022441,0,0,1,0,876,2,0,West,15,6,1,moderate,medium,0,0,0,0,0,0,0,0,No_Error,0,162,2.7,>2h,15,6,0,1,Failure,3124,3,Failed,1,0,15,6,0,very_high,high,3,Current,Tablet,B547,3,6,4,1,0,1
TXN0034824,0,1,0,0,368,1,0,North,17,6,1,low,low,0,1,0,0,0,0,0,1,KYC_ID,1,271,4.516666666666667,>2h,17,6,0,3,Success,561,0,Synced,0,0,17,6,0,moderate,none,0,Savings,Mobile,B125,3,6,3,1,0,0
TXN0060969,0,1,0,0,387,1,0,East,16,6,1,low,low,1,0,0,0,0,0,0,1,KYC_ID,1,113,1.8833333333333333,1-2h,16,6,0,3,Success,932,0,Synced,0,0,16,6,0,moderate,none,0,Current,Tablet,B412,3,6,3,1,0,0
TXN0087830,0,0,0,0,405,3,0,West,15,6,1,low,high,0,0,0,1,0,0,0,0,No_Error,0,157,2.6166666666666667,>2h,15,6,0,1,Success,938,0,Synced,0,0,15,6,0,moderate,none,0,Savings,Tablet,B379,3,6,1,0,0,0
TXN0000788,0,0,0,0,2561,2,1,North,11,6,1,very_high,medium,1,0,0,0,0,1,1,0,No_Error,0,50,0.8333333333333334,30-60m,11,6,1,0,Success,1111,0,Synced,0,0,11,6,1,high,none,1,Current,Mobile,B358,3,6,3,0,1,1
TXN0048923,0,1,0,0,355,1,0,North,3,6,1,low,low,0,0,0,0,0,0,0,1,KYC_ID,1,218,3.633333333333333,>2h,3,6,0,3,Success,328,0,Synced,0,0,3,6,0,low,none,0,Savings,Tablet,B254,3,6,3,1,0,0
TXN0007144,0,0,0,0,878,2,0,South,12,6,1,moderate,medium,0,0,0,0,0,0,0,0,No_Error,0,55,0.9166666666666666,30-60m,12,6,0,0,Success,301,0,Synced,0,0,12,6,0,low,none,0,Current,Mobile,B172,3,6,0,0,0,0
TXN0009237,0,1,0,0,752,1,0,North,7,6,1,moderate,low,0,0,1,0,0,0,0,1,Address,1,235,3.9166666666666665,>2h,7,6,0,3,Success,815,0,Synced,0,0,7,6,0,moderate,none,0,Current,Tablet,B318,3,6,3,1,0,0
TXN0094798,0,0,0,0,638,2,0,North,8,6,1,moderate,medium,0,1,0,0,0,0,0,0,No_Error,0,53,0.8833333333333333,30-60m,8,6,0,0,Success,874,0,Synced,0,0,8,6,0,moderate,none,0,Current,Mobile,B139,3,6,0,0,0,0
TXN0044796,1,1,0,0,2969,3,1,West,10,6,1,very_high,high,1,0,0,0,0,0,1,1,Address,0,212,3.533333333333333,>2h,10,6,1,2,Success,552,0,Synced,0,0,10,6,1,moderate,none,0,Current,Mobile,B355,3,6,4,2,1,0
TXN0060273,0,1,0,0,373,2,0,South,5,6,1,low,medium,0,0,0,0,0,0,0,1,KYC_ID,1,78,1.3,1-2h,5,6,0,3,Success,641,0,Synced,0,0,5,6,0,moderate,none,0,Savings,Mobile,B562,3,6,3,1,0,0
TXN0042143,0,0,0,1,952,3,0,South,12,6,1,moderate,high,0,1,0,0,0,0,0,0,No_Error,0,56,0.9333333333333332,30-60m,12,6,0,0,Success,608,0,Synced,0,0,12,6,0,moderate,none,0,Current,Mobile,B403,3,6,0,0,0,0
TXN0028171,0,0,0,0,235,1,0,North,1,6,1,low,low,0,0,0,0,0,0,0,0,No_Error,0,17,0.2833333333333333,15-30m,1,6,0,0,Success,876,0,Synced,0,0,1,6,0,moderate,none,0,Savings,Mobile,B431,3,6,0,0,0,0
TXN0049852,1,0,1,1,3314,1,1,South,10,6,1,very_high,low,1,1,0,0,0,1,1,0,No_Error,0,141,2.35,>2h,10,6,1,1,Failure,4891,3,Failed,1,0,10,6,1,very_high,high,3,Current,Mobile,B126,3,6,6,2,1,1
TXN0057515,0,0,0,0,1976,1,1,East,10,6,1,high,low,0,0,0,0,0,0,0,0,No_Error,0,92,1.5333333333333334,1-2h,10,6,1,1,Success,315,0,Synced,0,0,10,6,1,low,none,0,Current,Mobile,B527,3,6,3,0,1,0
TXN0048182,0,1,0,0,907,1,0,West,21,6,1,moderate,low,0,0,1,0,0,0,0,1,PAN,1,66,1.1,1-2h,21,6,0,3,Success,879,0,Synced,0,0,21,6,0,moderate,none,0,Savings,Tablet,B247,3,6,3,1,0,0
TXN0078732,0,1,0,0,667,1,0,West,22,6,1,moderate,low,0,0,0,0,0,0,0,1,Address,1,296,4.933333333333334,>2h,22,6,0,3,Success,1073,0,Synced,0,0,22,6,0,high,none,1,Savings,Tablet,B566,3,6,4,1,0,1
TXN0085210,0,1,0,0,923,1,0,West,4,6,1,moderate,low,0,0,1,0,0,0,0,1,DOB,1,100,1.6666666666666667,1-2h,4,6,0,3,Success,595,0,Synced,0,0,4,6,0,moderate,none,0,Savings,Mobile,B252,3,6,3,1,0,0
TXN0027537,0,0,0,0,1002,2,0,South,15,6,1,high,medium,0,0,0,0,0,0,1,0,No_Error,0,62,1.0333333333333334,1-2h,15,6,0,1,Success,338,0,Synced,0,0,15,6,0,low,none,0,Current,Mobile,B287,3,6,1,0,1,0
TXN0000585,0,1,0,0,1008,1,0,West,14,6,1,high,low,0,0,0,0,0,0,0,1,Address,0,70,1.1666666666666667,1-2h,14,6,0,2,Success,912,0,Synced,0,0,14,6,0,moderate,none,0,Current,Tablet,B571,3,6,2,1,1,0
TXN0037833,0,0,0,0,335,1,0,West,22,6,1,low,low,0,0,0,0,0,0,1,0,No_Error,0,63,1.05,1-2h,22,6,0,1,Success,313,0,Synced,0,0,22,6,0,low,none,0,Savings,Tablet,B254,3,6,1,0,0,0
TXN0091474,0,0,0,0,895,2,0,South,23,6,1,moderate,medium,0,0,1,0,0,0,0,0,No_Error,0,40,0.6666666666666666,30-60m,23,6,0,0,Success,467,0,Synced,0,0,23,6,0,low,none,0,Savings,Mobile,B261,3,6,0,0,0,0
TXN0071703,0,0,0,0,719,1,0,East,15,6,1,moderate,low,0,0,0,0,0,0,0,0,No_Error,0,72,1.2,1-2h,15,6,0,1,Success,417,0,Synced,0,0,15,6,0,low,none,0,Savings,Tablet,B148,3,6,1,0,0,0
TXN0015618,0,1,0,1,778,1,0,East,13,6,1,moderate,low,0,0,0,0,0,0,0,1,KYC_ID,0,124,2.066666666666667,>2h,13,6,0,2,Success,546,0,Synced,0,0,13,6,0,moderate,none,0,Current,Mobile,B304,3,6,2,1,0,0
TXN0081230,0,0,1,0,1004,1,0,East,15,6,1,high,low,0,0,0,0,0,0,0,0,No_Error,0,101,1.6833333333333331,1-2h,15,6,0,1,Failure,2454,1,Failed,1,1,15,6,0,very_high,low,4,Current,Tablet,B275,3,6,5,1,1,1
TXN0006809,0,1,0,0,1709,1,1,West,11,6,1,high,low,0,0,1,0,0,1,1,1,Address,0,75,1.25,1-2h,11,6,1,2,Success,1027,0,Synced,0,0,11,6,1,high,none,1,Current,Tablet,B578,3,6,5,1,1,1
TXN0012820,0,0,0,0,657,1,0,North,13,6,1,moderate,low,0,0,1,0,0,0,0,0,No_Error,0,49,0.8166666666666667,30-60m,13,6,0,0,Success,1020,0,Synced,0,0,13,6,0,high,none,1,Current,Mobile,B273,3,6,1,0,0,1
TXN0055170,0,1,0,0,381,1,0,South,21,6,1,low,low,0,0,1,0,0,0,0,1,PAN,1,221,3.683333333333333,>2h,21,6,0,3,Success,748,0,Synced,0,0,21,6,0,moderate,none,0,Current,Tablet,B132,3,6,3,1,0,0
TXN0084119,0,0,0,1,1152,1,0,North,7,6,1,high,low,1,0,0,0,1,0,0,0,No_Error,0,175,2.9166666666666665,>2h,7,6,0,1,Success,1174,0,Synced,0,0,7,6,0,high,none,1,Savings,Tablet,B252,3,6,2,0,1,1
TXN0026090,0,0,0,1,1110,3,0,East,20,6,1,high,high,0,0,0,0,0,0,0,0,No_Error,0,8,0.1333333333333333,<=15m,20,6,0,0,Success,568,0,Synced,0,0,20,6,0,moderate,none,0,Savings,Mobile,B521,3,6,0,0,1,0
TXN0083799,0,0,0,0,962,1,0,South,2,6,1,moderate,low,0,0,0,0,0,0,0,0,No_Error,0,44,0.7333333333333333,30-60m,2,6,0,0,Success,518,0,Synced,0,0,2,6,0,moderate,none,0,Savings,Tablet,B527,3,6,0,0,0,0
TXN0024096,0,1,0,0,463,1,0,East,3,6,1,low,low,0,0,0,0,0,0,0,1,PAN,1,166,2.7666666666666666,>2h,3,6,0,3,Success,903,0,Synced,0,0,3,6,0,moderate,none,0,Savings,Tablet,B524,3,6,3,1,0,0
TXN0053562,0,0,0,1,812,3,0,North,15,6,1,moderate,high,0,0,0,0,0,0,0,0,No_Error,0,64,1.0666666666666669,1-2h,15,6,0,1,Success,989,0,Synced,0,0,15,6,0,moderate,none,0,Current,Mobile,B236,3,6,1,0,0,0
TXN0089873,1,0,0,0,843,1,0,South,19,6,1,moderate,low,0,0,0,0,0,0,0,0,No_Error,0,28,0.4666666666666667,15-30m,19,6,0,0,Success,965,0,Synced,0,0,19,6,0,moderate,none,0,Savings,Mobile,B218,3,6,0,1,0,0
TXN0007794,0,0,0,0,1118,1,0,North,16,6,1,high,low,1,0,0,0,0,0,1,0,No_Error,0,130,2.1666666666666665,>2h,16,6,0,1,Success,795,0,Synced,0,0,16,6,0,moderate,none,0,Current,Mobile,B532,3,6,1,0,1,0
TXN0023781,0,0,0,0,1026,2,0,East,17,6,1,high,medium,0,1,0,0,0,0,0,0,No_Error,0,141,2.35,>2h,17,6,0,1,Success,1004,0,Synced,0,0,17,6,0,high,none,1,Savings,Mobile,B387,3,6,2,0,1,1
TXN0088925,0,0,0,0,1105,1,0,North,6,6,1,high,low,0,0,0,0,0,0,0,0,No_Error,0,155,2.583333333333333,>2h,6,6,0,1,Success,627,0,Synced,0,0,6,6,0,moderate,none,0,Savings,Mobile,B272,3,6,1,0,1,0
TXN0032017,0,1,0,0,948,1,0,North,20,6,1,moderate,low,0,0,0,0,0,0,0,1,Address,1,240,4.0,>2h,20,6,0,3,Success,786,0,Synced,0,0,20,6,0,moderate,none,0,Savings,Tablet,B293,3,6,3,1,0,0
TXN0013325,0,0,0,0,967,2,0,East,3,6,1,moderate,medium,1,0,0,0,0,0,0,0,No_Error,0,63,1.05,1-2h,3,6,0,1,Success,512,0,Synced,0,0,3,6,0,moderate,none,0,Current,Tablet,B372,3,6,1,0,0,0
TXN0033079,0,1,0,0,553,1,0,East,3,6,1,moderate,low,0,0,0,1,0,0,0,1,PAN,1,136,2.2666666666666666,>2h,3,6,0,3,Success,905,0,Synced,0,0,3,6,0,moderate,none,0,Savings,Mobile,B261,3,6,3,1,0,0
TXN0055825,1,0,0,0,3308,1,1,West,9,6,1,very_high,low,1,0,0,1,0,1,1,0,No_Error,0,144,2.4,>2h,9,6,1,1,Success,1001,0,Synced,0,0,9,6,1,high,none,1,Savings,Mobile,B387,3,6,4,1,1,1
TXN0069200,0,1,0,0,373,3,0,North,22,6,1,low,high,0,0,0,0,0,1,0,1,Address,0,271,4.516666666666667,>2h,22,6,0,2,Success,320,0,Synced,0,0,22,6,0,low,none,0,Current,Tablet,B436,3,6,2,1,0,0
TXN0020277,0,0,1,1,820,3,0,West,19,6,1,moderate,high,0,0,0,0,0,0,0,0,No_Error,0,50,0.8333333333333334,30-60m,19,6,0,0,Failure,2242,3,Failed,1,1,19,6,0,very_high,high,4,Savings,Tablet,B288,3,6,4,1,0,1
TXN0035736,0,0,0,0,230,1,0,North,8,6,1,low,low,1,0,0,0,0,0,0,0,No_Error,0,56,0.9333333333333332,30-60m,8,6,0,0,Success,963,0,Synced,0,0,8,6,0,moderate,none,0,Current,Tablet,B561,3,6,0,0,0,0
TXN0034466,0,0,0,0,617,2,0,South,8,6,1,moderate,medium,0,0,0,0,0,0,0,0,No_Error,0,142,2.3666666666666667,>2h,8,6,0,1,Success,743,0,Synced,0,0,8,6,0,moderate,none,0,Savings,Mobile,B578,3,6,1,0,0,0
TXN0038587,0,0,0,0,910,1,0,North,23,6,1,moderate,low,1,0,0,0,0,0,0,0,No_Error,0,132,2.2,>2h,23,6,0,1,Success,803,0,Synced,0,0,23,6,0,moderate,none,0,Savings,Tablet,B548,3,6,1,0,0,0
